Test ID,Endpoint,Method,Request,Response Time (ms),Status Code,Status,Payload,Timestamp
TEST_0001,/api/products,GET,Get all products,215,200,PASS,Executed successfully,8/13/2026 8:57:13 PM
TEST_0002,/api/products?limit=20,GET,Get products with limit,220,200,PASS,Executed successfully,8/13/2026 8:57:14 PM
TEST_0003,/api/products?category=vegetables,GET,Get products by category,235,200,PASS,Executed successfully,8/13/2026 8:57:15 PM
TEST_0004,/api/products/123,GET,Get single product,180,200,PASS,Executed successfully,8/13/2026 8:57:16 PM
TEST_0005,/api/products/search?q=tomato,GET,Search products,245,200,PASS,Executed successfully,8/13/2026 8:57:17 PM
TEST_0006,/api/users/register,POST,Create new buyer,520,201,PASS,User registered successfully,8/13/2026 8:57:18 PM
TEST_0007,/api/users/login,POST,Buyer login request,380,200,PASS,Login successful,8/13/2026 8:57:19 PM
TEST_0008,/api/auth/token/refresh,POST,Refresh JWT token,280,200,PASS,Token refreshed,8/13/2026 8:57:20 PM
TEST_0009,/api/users/profile,GET,Get user profile,200,200,PASS,Profile retrieved,8/13/2026 8:57:21 PM
TEST_0010,/api/users/profile,PUT,Update user profile,350,200,PASS,Profile updated,8/13/2026 8:57:22 PM
TEST_0011,/api/users/password,POST,Change password,300,200,PASS,Password changed,8/13/2026 8:57:23 PM
TEST_0012,/api/addresses,GET,Get saved addresses,190,200,PASS,Addresses retrieved,8/13/2026 8:57:24 PM
TEST_0013,/api/addresses,POST,Add new address,340,201,PASS,Address added,8/13/2026 8:57:25 PM
TEST_0014,/api/addresses/456,PUT,Update address,320,200,PASS,Address updated,8/13/2026 8:57:26 PM
TEST_0015,/api/addresses/456,DELETE,Delete address,250,200,PASS,Address deleted,8/13/2026 8:57:27 PM
TEST_0016,/api/cart,GET,Get shopping cart,170,200,PASS,Cart retrieved,8/13/2026 8:57:28 PM
TEST_0017,/api/cart/items,POST,Add item to cart,290,201,PASS,Item added to cart,8/13/2026 8:57:29 PM
TEST_0018,/api/cart/items/789,PUT,Update cart item quantity,260,200,PASS,Quantity updated,8/13/2026 8:57:30 PM
TEST_0019,/api/cart/items/789,DELETE,Remove item from cart,240,200,PASS,Item removed,8/13/2026 8:57:31 PM
TEST_0020,/api/cart/clear,POST,Clear entire cart,200,200,PASS,Cart cleared,8/13/2026 8:57:32 PM
TEST_0021,/api/coupons/validate,POST,Validate coupon code,210,200,PASS,Coupon valid,8/13/2026 8:57:33 PM
TEST_0022,/api/cart/coupons,POST,Apply coupon to cart,330,200,PASS,Coupon applied,8/13/2026 8:57:34 PM
TEST_0023,/api/orders,POST,Create new order,650,201,PASS,Order created,8/13/2026 8:57:35 PM
TEST_0024,/api/orders,GET,Get user orders,280,200,PASS,Orders retrieved,8/13/2026 8:57:36 PM
TEST_0025,/api/orders/ORD123,GET,Get order details,220,200,PASS,Order details retrieved,8/13/2026 8:57:37 PM
TEST_0026,/api/orders/ORD123/cancel,POST,Cancel order,400,200,PASS,Order cancelled,8/13/2026 8:57:38 PM
TEST_0027,/api/orders/ORD123/return,POST,Request return,350,201,PASS,Return requested,8/13/2026 8:57:39 PM
TEST_0028,/api/orders/ORD123/track,GET,Track order,240,200,PASS,Tracking info retrieved,8/13/2026 8:57:40 PM
TEST_0029,/api/payments/process,POST,Process payment,1200,200,PASS,Payment processed,8/13/2026 8:57:41 PM
TEST_0030,/api/payments/validate,POST,Validate payment,450,200,PASS,Payment validated,8/13/2026 8:57:42 PM
TEST_0031,/api/payments/refund,POST,Process refund,950,200,PASS,Refund processed,8/13/2026 8:57:43 PM
TEST_0032,/api/delivery/track,GET,Track delivery,310,200,PASS,Delivery tracked,8/13/2026 8:57:44 PM
TEST_0033,/api/delivery/routes,POST,Get delivery routes,420,200,PASS,Routes generated,8/13/2026 8:57:45 PM
TEST_0034,/api/reviews,GET,Get product reviews,260,200,PASS,Reviews retrieved,8/13/2026 8:57:46 PM
TEST_0035,/api/reviews,POST,Submit product review,510,201,PASS,Review submitted,8/13/2026 8:57:47 PM
TEST_0036,/api/reviews/REV123,PUT,Edit review,380,200,PASS,Review updated,8/13/2026 8:57:48 PM
TEST_0037,/api/reviews/REV123,DELETE,Delete review,290,200,PASS,Review deleted,8/13/2026 8:57:49 PM
TEST_0038,/api/wishlist,GET,Get wishlist,185,200,PASS,Wishlist retrieved,8/13/2026 8:57:50 PM
TEST_0039,/api/wishlist,POST,Add to wishlist,300,201,PASS,Item added to wishlist,8/13/2026 8:57:51 PM
TEST_0040,/api/wishlist/WL456,DELETE,Remove from wishlist,270,200,PASS,Item removed from wishlist,8/13/2026 8:57:52 PM
TEST_0041,/api/notifications,GET,Get notifications,200,200,PASS,Notifications retrieved,8/13/2026 8:57:53 PM
TEST_0042,/api/notifications/NOTIF789/read,POST,Mark notification as read,180,200,PASS,Notification marked,8/13/2026 8:57:54 PM
TEST_0043,/api/farmer/products,GET,Farmer get products,240,200,PASS,Products retrieved,8/13/2026 8:57:55 PM
TEST_0044,/api/farmer/products,POST,Farmer add product,580,201,PASS,Product added,8/13/2026 8:57:56 PM
TEST_0045,/api/farmer/products/789,PUT,Farmer update product,420,200,PASS,Product updated,8/13/2026 8:57:57 PM
TEST_0046,/api/farmer/orders,GET,Farmer get orders,310,200,PASS,Orders retrieved,8/13/2026 8:57:58 PM
TEST_0047,/api/farmer/orders/ORD456/accept,POST,Accept order,350,200,PASS,Order accepted,8/13/2026 8:57:59 PM
TEST_0048,/api/farmer/orders/ORD456/reject,POST,Reject order,320,200,PASS,Order rejected,8/13/2026 8:58:00 PM
TEST_0049,/api/farmer/revenue,GET,Get revenue report,280,200,PASS,Revenue retrieved,8/13/2026 8:58:01 PM
TEST_0050,/api/farmer/payout,GET,Get payout history,260,200,PASS,Payout history retrieved,8/13/2026 8:58:02 PM
TEST_0051,/api/admin/users,GET,Admin get users,450,200,PASS,Users retrieved,8/13/2026 8:58:03 PM
TEST_0052,/api/admin/users/USR123/block,POST,Block user account,300,200,PASS,User blocked,8/13/2026 8:58:04 PM
TEST_0053,/api/admin/products/approve,POST,Approve product listing,350,200,PASS,Product approved,8/13/2026 8:58:05 PM
TEST_0054,/api/admin/products/reject,POST,Reject product listing,330,200,PASS,Product rejected,8/13/2026 8:58:06 PM
TEST_0055,/api/admin/reports,GET,Get admin reports,520,200,PASS,Reports retrieved,8/13/2026 8:58:07 PM
TEST_0056,/api/categories,GET,Get product categories,150,200,PASS,Categories retrieved,8/13/2026 8:58:08 PM
TEST_0057,/api/categories/VEG/subcategories,GET,Get subcategories,170,200,PASS,Subcategories retrieved,8/13/2026 8:58:09 PM
TEST_0058,/api/health,GET,Health check,50,200,PASS,System healthy,8/13/2026 8:58:10 PM
TEST_0059,/api/metrics,GET,Get system metrics,280,200,PASS,Metrics retrieved,8/13/2026 8:58:11 PM
